question,answer,reference_chunk,reference_file
অনুপমের বয়স কত ছিল?,সাতাশ বছর,আজ আমার বয়স সাতাশ মাত্র।,page_006.md
অনুপমের বাবা কী কাজ করতেন?,ওকালতি,আমার পিতা এক কালে গরিব ছিলেন। ওকালতি করিয়া তিনি প্রচুর টাকা রোজগার করিয়াছেন…,page_006.md
অনুপমের মামাকে ‘ভাগ্যদেবতার প্রধান এজেন্ট’ বলা হয়েছে কেন?,তার প্রভাব এবং পরিবারের সব সিদ্ধান্তে কর্তৃত্বের জন্য,"…মামা, যিনি পৃথিবীতে আমার ভাগ্যদেবতার প্রধান এজেন্ট…",page_006.md
‘অপরিচিতা’ গল্পের নায়িকার নাম কী?,কল্যাণী,অপরিচিতা বিশেষণের আড়ালে… তার নাম কল্যাণী।,page_019.md
অনুপমের ছোটবেলায় তার সুন্দর চেহারা নিয়ে পণ্ডিতমশায় কী তুলনা করতেন?,শিমুল ফুল ও মাকাল ফলের সঙ্গে,"…পণ্ডিতমশায় আমাকে শিমুল ফুল ও মাকাল ফলের সহিত তুলনা করিয়া, বিদ্রুপ করিবার সুযোগ পাইয়াছিলেন।",page_006.md
হরিশের কী গুণ ছিল?,আসর জমাতে অদ্বিতীয়,হরিশ আসর জমাইতে অদ্বিতীয়।,page_007.md
অনুপম কেন মামার সব কথা মানে?,মাতার আদেশ মানিয়া চালবার ক্ষমতা আছে—না মানিবার ক্ষমতা আমার নাই,"মাতার আদেশ মানিয়া চালবার ক্ষমতা আমার আছে—বস্তুত, না মানিবার ক্ষমতা আমার নাই।",page_006.md
অনুপমের বিবাহ ভেঙে যাওয়ার প্রধান কারণ কী?,গহনা যাচাই এবং অপমানবোধ; কল্যাণীর পিতা অপমানিত হন,…তোমার মামা বলিতেছেন বিবাহের কাজ শুরু হইবার আগেই তিনি কনের সমস্ত গহনা যাচাই কারিয়া দেখিবেন।,page_009.md
শম্ভুনাথ কেমন চরিত্রের অধিকারী?,"চুপচাপ, সুপুরুষ, আত্মমর্যাদাবান","চুল কাঁচা, গোঁফে পাক ধরিতে আরম্ভ করিয়াছে মাত্র। সুপুরুষ বটে… বোঝা শক্ত, কেননা তিনি বড়ই চুপচাপ।",page_008.md
কল্যাণীর বিয়ের সময় প্রকৃত বয়স কত ছিল?,পনেরো বছর,মেয়ের বয়স যে পনেরো; তাই শুনিয়া মামার মন ভার হইল।,page_007.md
অনুপমকে “অন্নপূর্ণার কোলে গজাননের ছোট ভাই” বলা হয়েছে কেন?,"শিশুর মতো, অপরিণত ও নির্ভরশীল মানসিকতার জন্য","আজও আমাকে দেখিলে মনে হইবে, আমি অন্নপূর্ণার কোলে গজাননের ছোটো ভাইটি।",page_006.md
কাকে ‘সৎপাত্র’ বলা হয়েছে এবং কেন?,"অনুপমকে, কারণ তিনি তামাকও খান না, ভালোমানুষ",কন্যার পিতা মাত্রেই স্বীকার করিবেন; আমি সৎপাত্র। তামাকটুকু পর্যন্ত খাই না।,page_006.md
গল্পটি কার দৃষ্টিকোণে লেখা?,"উত্তম পুরুষে, অনুপমের জবানিতে",‘অপরিচিতা’ উত্তম পুরুষের জবানিতে লেখা গল্প। গল্পের কথক অনুপম…,page_019.md
কল্যাণী কেন বিয়েতে অসম্মতি জানায়?,আত্মসম্মানবোধ ও মায়ের আদেশ,"কল্যাণী বলল, ‘আমি বিয়ে করব না।’ কারণ, মাতৃ-আজ্ঞা।",page_012.md
অনুপমের পরিবারের মূল অভিভাবক কে?,মামা,আমার আসল অভিভাবক আমার মামা।,page_006.md
বিনুদাদার ভাষার বৈশিষ্ট্য কী?,অত্যন্ত আঁট; সংক্ষিপ্ত,বিনুদাদার ভাষাটা অত্যন্ত আঁট।,page_008.md
অনুপমের জীবনের সবচেয়ে বড় লজ্জার ঘটনা কী?,"ছোটবেলায় পণ্ডিতমশায়ের বিদ্রুপ, সুন্দর চেহারা নিয়ে","…পণ্ডিতমশায় আমাকে শিমুল ফুল ও মাকাল ফলের সহিত তুলনা করিয়া, বিদ্রুপ করিবার সুযোগ পাইয়াছিলেন। ইহাতে তখন বড় লজ্জা পাইতাম…",page_006.md
গল্পে পণ ও গহনা নিয়ে কে সবচেয়ে বেশি কঠোর ছিলেন?,অনুপমের মামা,মামা বলিতেছেন বিবাহের কাজ শুরু হইবার আগেই তিনি কনের সমস্ত গহনা যাচাই কারিয়া দেখিবেন।,page_009.md
অনুপমের চরিত্রের প্রধান দুর্বলতা কী?,ব্যক্তিত্বহীনতা ও আত্মবিশ্বাসের অভাব,"…ব্যক্তিত্বরহিত, পরিবারতন্ত্রের কাছে অসহায় পুতুলমাত্র।",page_019.md
‘অপরিচিতা’ গল্পে সমাজের কোন বড় কুপ্রথার বিরুদ্ধে অবস্থান দেখানো হয়েছে?,যৌতুকপ্রথা,এই গল্পেই প্রথম যৌতুক প্রথার বিরুদ্ধে নারী-পুরুষের সম্মিলিত প্রতিরোধের কথকতা শোনালেন তিনি।,page_019.md
অনুপম ও কল্যাণীর মানসিকতার মূল পার্থক্য কী?,অনুপম ব্যক্তিত্বহীন ও আত্মবিশ্বাসহীন; কল্যাণী আত্মসম্মানবোধ ও প্রতিবাদী মানসিকতার অধিকারী।,"…অনুপম ব্যক্তিত্বরহিত, পরিবারতন্ত্রের কাছে অসহায় পুতুলমাত্র।”/ “কল্যাণীর দেশচেতনায় ঋদ্ধ ব্যক্তিত্বের জাগরণ ও তার অভিব্যক্তিতে গল্পটি স্বার্থক।",page_019.md
‘অপরিচিতা’ গল্পের মূল বার্তা কী?,সমাজে নারী-পুরুষের সম্মিলিত প্রতিবাদ ও আত্মসম্মানবোধের মূল্যবোধ।,এই গল্পেই প্রথম যৌতুক প্রথার বিরুদ্ধে নারী-পুরুষের সম্মিলিত প্রতিরোধের কথকতা শোনালেন তিনি।,page_019.md
বিনুদাদার ভাষা কেমন ছিল?,অত্যন্ত আঁট,"বিনুদাদার ভাষাটা অত্যন্ত আঁট। যেখানে আমরা বলি 'চমৎকার', সেখানে তিনি বলেন 'চলনসই'।",page_008.md
বিনুদাদা 'চমৎকার' এর বদলে কী বলতেন?,চলনসই,"যেখানে আমরা বলি 'চমৎকার', সেখানে তিনি বলেন 'চলনসই'।",page_008.md
কন্যার পিতার নাম কী?,শম্ভুনাথবাবু,কন্যার পিতা শম্ভুনাথবাবু হরিশকে কত বিশ্বাস করেন তাহার প্রমাণ এই যে...,page_008.md
বিবাহের কত দিন পূর্বে শম্ভুনাথবাবু অনুপমকে দেখেন?,তিন দিন পূর্বে,বিবাহের তিন দিন পূর্বে তিনি আমাকে চক্ষে দেখেন এবং আশীর্বাদ করিয়া যান।,page_008.md
শম্ভুনাথবাবুর বয়স কত ছিল?,চল্লিশের এপারে বা ওপারে,বয়স তাঁর চল্লিশের এপারে বা ওপারে।,page_008.md
শম্ভুনাথবাবুর চুল কেমন ছিল?,কাঁচা,চুল কাঁচা গোঁফে পাক ধরিতে আরম্ভ করিয়াছে মাত্র।,page_008.md
শম্ভুনাথবাবুর গোঁফের অবস্থা কী ছিল?,পাক ধরিতে আরম্ভ করিয়াছে,গোঁফে পাক ধরিতে আরম্ভ করিয়াছে মাত্র।,page_008.md
শম্ভুনাথবাবুকে দেখতে কেমন ছিল?,সুপুরুষ,সুপুরুষ বটে। ভিড়ের মধ্যে দেখিলে সকলের আগে তাঁর উপরে চোখ পড়িবার মতো চেহারা।,page_008.md
শম্ভুনাথবাবুর স্বভাব কেমন ছিল?,বড়ই চুপচাপ,বোঝা শক্ত কেননা তিনি বড়ই চুপচাপ।,page_008.md
শম্ভুনাথবাবু কথা বলার সময় কেমন করতেন?,পুরা জোর দিয়া বলেন না,যে দুটি-একটি কথা বলেন যেন তাহাতে পুরা জোর দিয়া বলেন না।,page_008.md
মামা কী প্রচার করিতেছিলেন?,ধনে মানে আমাদের স্থান যে শহরের কারও চেয়ে কম নয়,ধনে মানে আমাদের স্থান যে শহরের কারও চেয়ে কম নয় সেইটেকেই তিনি নানা প্রসঙ্গে প্রচার করিতেছিলেন।,page_008.md
শম্ভুনাথবাবু মামার কথায় কীভাবে সাড়া দিয়েছিলেন?,একেবারে যোগই দিলেন না,শম্ভুনাথবাবু এ কথায় একেবারে যোগই দিলেন না—কোনো ফাঁকে একটা বা হু বা হ্যাঁ কিছুই শোনা গেল না।,page_008.md
মামা শম্ভুনাথবাবুর চুপচাপ ভাব দেখে কী ভেবেছিলেন?,লোকটা নিতান্ত নির্জীব একেবারে কোনো তেজ নাই,তিনি শম্ভুনাথবাবুর চুপচাপ ভাব দেখিয়া ভাবিলেন লোকটা নিতান্ত নির্জীব একেবারে কোনো তেজ নাই।,page_008.md
বেহাই-সম্পদায়ের ক্ষেত্রে তেজ থাকাটা কী?,দোষের,বেহাই-সম্পদায়ের আর যাই থাক তেজ থাকাটা দোষের।,page_008.md
শম্ভুনাথবাবু চলে যাওয়ার সময় মামা কী করলেন?,সংক্ষেপে উপর হইতেই তাঁকে বিদায় করিলেন,শম্ভুনাথবাবু যখন উঠিলেন তখন মামা সংক্ষেপে উপর হইতেই তাঁকে বিদায় করিলেন।,page_008.md
মামা কেন গাড়িতে তুলিয়া দিতে গেলেন না?,শম্ভুনাথবাবুকে নিতান্ত নির্জীব মনে করেছিলেন,গাড়িতে তুলিয়া দিতে গেলেন না।,page_008.md
পণ সম্বন্ধে কী হয়েছিল?,দুই পক্ষে পাকাপাকি কথা ঠিক হইয়া গিয়াছিল,পণ সম্বন্ধে দুই পক্ষে পাকাপাকি কথা ঠিক হইয়া গিয়াছিল।,page_008.md
মামা নিজেকে কী বলে অভিমান করতেন?,অসামান্য চতুর,মামা নিজেকে অসামান্য চতুর বলিয়াই অভিমান করিয়া থাকেন।,page_008.md
কথাবার্তায় মামা কী রাখেননি?,ফাঁক,কথাবার্তায় কোথাও তিনি ফাঁক রাখেন নাই।,page_008.md
টাকার অঙ্ক ছাড়াও আর কী স্থির হয়েছিল?,গহনা কত ভরির এবং সোনা কত দরের হইবে,তারপরে গহনা কত ভরির এবং সোনা কত দরের হইবে সেও একেবারে বাঁধাবাঁধি হইয়া গিয়াছিল।,page_008.md
অনুপম এসমস্ত কথার মধ্যে ছিল কিনা?,না,আমি নিজে এসমস্ত কথার মধ্যে ছিলাম না।,page_008.md
অনুপম দেনা-পাওনার বিষয়ে কী জানতো?,জানিতাম না,জানিতাম না দেনা-পাওনা কি স্থির হইল।,page_008.md
স্থূল অংশটাও বিবাহের কী?,একটা প্রধান অংশ,এই স্থূল অংশটাও বিবাহের একটা প্রধান অংশ।,page_008.md
মামা কী নিশ্চিত ছিলেন?,এক কড়াও ঠকিবেন না,সে অংশের ভার যার উপরে তিনি এক কড়াও ঠকিবেন না।,page_008.md
মামা আমাদের সমস্ত সংসারের কী?,প্রধান গর্বের সামগ্রী,আশ্চর্য পাকা লোক বলিয়া মামা আমাদের সমস্ত সংসারের প্রধান গর্বের সামগ্রী।,page_008.md
যেখানে আমাদের কোনো সম্পর্ক আছে সেখানে মামা কী করবেন?,বুদ্ধির লড়াইয়ে জিতিবেন,যেখানে আমাদের কোনো সম্পর্ক আছে সেখানে সর্বত্রই তিনি বুদ্ধির লড়াইয়ে জিতিবেন।,page_008.md
আমাদের সংসারের জেদ কী?,জিতিব,এই জন্য আমাদের অভাব থাকিলেও এবং অন্য পক্ষের অভাব কঠিন হইলেও জিতিব আমাদের সংসারের এই জেদ।,page_008.md
গায়ে-হলুদ কেমন হয়েছিল?,অসম্ভব রকম ধুম করিয়া গেল,গায়ে-হলুদ অসম্ভব রকম ধুম করিয়া গেল।,page_008.md
বাহক এত গেল যে কী করতে হতো?,কেরানি রাখতে হয়,বাহক এত গেল যে তাহার আদম-শুমারি করিতে হইলে কেরানি রাখতে হয়।,page_008.md
তাহাদিগকে বিদায় করতে অপর পক্ষকে কী হতে হবে?,নাকাল হইতে হইবে,তাহাদিগকে বিদায় করতে অপর পক্ষকে যে নাকাল হইতে হইবে।,page_008.md
মামার সঙ্গে মা কেন হাসলেন?,অপর পক্ষের নাকাল হওয়ার কথা স্মরণ করে,সেই কথা স্মরণ করিয়া মামার সঙ্গে মা একযোগে বিস্তর হাসিলেন।,page_008.md
কী কী যন্ত্র ব্যবহার করা হয়েছিল?,ব্যান্ড বাঁশি শখের কন্সার্ট প্রভৃতি,ব্যান্ড বাঁশি শখের কন্সার্ট প্রভৃতি যেখানে যতপ্রকার উচ্চ শব্দ আছে সমস্ত একসঙ্গে মিশাইয়া।,page_008.md
সংগীত সরস্বতীর কী হয়েছিল?,পদ্মবন দলিত বিদলিত করিয়া উঠিলাম,সংগীত সরস্বতীর পদ্মবন দলিত বিদলিত করিয়া উঠিলাম।,page_008.md
আংটি হার ইত্যাদিতে কী হয়েছিল?,জরি-জহরতে বলিয়া বোধ হইল,আংটিতে হারেতে জরি-জহরতে বলিয়া বোধ হইল।,page_008.md
ভাবি জামাইয়ের মূল্যকত সেটা কীভাবে প্রকাশ করা হচ্ছিল?,সর্বাঙ্গে স্পষ্ট করিয়া লিখিয়া,তাহাদের ভাবি জামাইয়ের মূল্য কত সেটা যেন কতক পরিমাণে সর্বাঙ্গে স্পষ্ট করিয়া লিখিয়া।,page_008.md
ভাবী স্বশুরের সঙ্গে কী করতে চাইছিল?,মোকাবিলা করিতে,ভাবী স্বশুরের সঙ্গে মোকাবিলা করিতে চলিয়াছিলাম।,page_008.md
মামা বিবাহ-বাড়িতে ঢুকে কী অনুভব করলেন?,খুশি হইলেন না,মামা বিবাহ-বাড়িতে ঢুকিয়া খুশি হইলেন না।,page_009.md
উঠানটাতে বরযাত্রীদের কী সমস্যা ছিল?,জায়গা সংকুলান হওয়াই শক্ত,একে তো উঠানটাতে বরযাত্রীদের জায়গা সংকুলান হওয়াই শক্ত।,page_009.md
সমস্ত আয়োজন কেমন ছিল?,নিতান্ত মধ্যম রকমের,তাহার পরে সমস্ত আয়োজন নিতান্ত মধ্যম রকমের।,page_009.md
শঙ্কুনাথবাবুর ব্যবহার কেমন ছিল?,নেহাত ঠান্ডা,ইহার পরে শঙ্কুনাথবাবুর ব্যবহারটাও নেহাত ঠান্ডা ছিল।,page_009.md
শঙ্কুনাথবাবুর বিনয় কেমন ছিল?,অজস্র নয়,তাঁর বিনয়টা অজস্র নয়।,page_009.md
শঙ্কুনাথবাবুর শারীরিক বর্ণনা কী?,কোমরে চাদর বাঁধা গলা ভাঙা টাক-পড়া মিশ-কালো,কোমরে চাদর বাঁধা গলা ভাঙা টাক-পড়া মিশ-কালো এবং শরীর।,page_009.md
শঙ্কুনাথবাবুর উকিল-বন্ধু কী করতেন?,হাত জোড় করিয়ে মাথা হেলাইয়া নম্রতার স্মিতহাস্য,তাঁর একটি উকিল-বন্ধু যদি নিয়ত হাত জোড় করিয়ে মাথা হেলাইয়া নম্রতার স্মিতহাস্যে।,page_009.md
উকিল-বন্ধু না থাকলে কী হতো?,গোড়াতেই এটা এসপার-ওসপার হইত,তবে গোড়াতেই এটা এসপার-ওসপার হইত।,page_009.md
অনুপম সভায় বসার কিছুক্ষণ পরে কী হলো?,মামা শঙ্কুনাথবাবুকে পাশের ঘরে ডাকিয়া লইয়া গেলেন,আমি সভায় বসিবার কিছুক্ষণ পরেই মামা শঙ্কুনাথবাবুকে পাশের ঘরে ডাকিয়া লইয়া গেলেন।,page_009.md
শঙ্কুনাথবাবু অনুপমকে কী বললেন?,বাবাজি একবার এই দিকে আসতে হচ্ছে,বাবাজি একবার এই দিকে আসতে হচ্ছে।,page_009.md
মামার কোনো লক্ষ ছিল?,কোনোমতেই কারও কাছে ঠকিবেন না,কিন্তু কোনো লক্ষ ছিল তিনি কোনোমতেই কারও কাছে ঠকিবেন না।,page_009.md
মামার ভয় কী ছিল?,তাঁর বেহাই তাঁকে গহনায় ফাঁক দিতে পারেন,তাঁর ভয় তাঁর বেহাই তাঁকে গহনায় ফাঁক দিতে পারেন না।,page_009.md
বিবাহকার্য শেষ হলে কী হবে?,সে ফাঁকির আর প্রতিকার চলিবে না,বিবাহকার্য শেষ হইয়া গেলে সে ফাঁকির আর প্রতিকার চলিবে না।,page_009.md
কী কী বিষয়ের টানাটানির পরিচয় পাওয়া গেছে?,বাড়িভাড়া সওগাদ লোকবিদায় প্রভৃতি,বাড়িভাড়া সওগাদ লোকবিদায় প্রভৃতি সম্বন্ধে যেরকম টানাটানির পরিচয় পাওয়া গেছে।,page_009.md
মামা কী ঠিক করেছিলেন?,দেওয়া-থোওয়া সম্বন্ধে এ লোকটির শুধু মুখের কথার উপর ভর করা চলিবে না,দেওয়া-থোওয়া সম্বন্ধে এ লোকটির শুধু মুখের কথার উপর ভর করা চলিবে না।,page_009.md
বাড়ির সেকরাকে কেন সঙ্গেআনা হয়েছিল?,গহনা যাচাই করার জন্য,সেইজন্য বাড়ির সেকরাকে সুদ্ধ সঙ্গেআনিয়াছিলেন।,page_009.md
পাশের ঘরে গিয়ে কী দেখা গেল?,মামা এক তক্তপোশে এবং সেকরা মেঝেয় বসিয়া আছে,পাশের ঘরে গিয়া দেখিলাম মামা এক তক্তপোশে এবং সেকরা তাহার দাঁড়িপাল্লা কষ্টিপাথর প্রভৃতি লইয়া মেঝেয় বসিয়া আছে।,page_009.md
সেকরার সাথে কী কী ছিল?,দাঁড়িপাল্লা কষ্টিপাথর প্রভৃতি,সেকরা তাহার দাঁড়িপাল্লা কষ্টিপাথর প্রভৃতি লইয়া মেঝেয় বসিয়া আছে।,page_009.md
শঙ্কুনাথবাবু অনুপমকে কী জানালেন?,তোমার মামা বলিতেছেন বিবাহের কাজ শুরু হইবার আগেই তিনি কনের সমস্ত গহনা যাচাই কারিয়া দেখিবেন,তোমার মামা বলিতেছেন বিবাহের কাজ শুরু হইবার আগেই তিনি কনের সমস্ত গহনা যাচাই কারিয়া দেখিবেন।,page_009.md
অনুপম এ কথা শুনে কী করলো?,মাথা হেঁট করিয়া চুপ করিয়া রহিলাম,আমি মাথা হেঁট করিয়া চুপ করিয়া রহিলাম।,page_009.md
মামা কী বললেন?,ও আবার কী বলিবে? আমি যা বলিব তাই হইবে,ও আবার কী বলিবে? আমি যা বলিব তাই হইবে।,page_009.md
শঙ্কুনাথবাবু অনুপমের দিকে চেয়ে কী জানতে চাইলেন?,সেই কথা তবে ঠিক? উনি যা বলিলেন তাই হইবে?,সেই কথা তবে ঠিক? উনি যা বলিলেন তাই হইবে?,page_009.md
অনুপম কীভাবে সম্মতি জানালো?,ঘাড়-নাড়ার ইঙ্গিতে,এ সম্বন্ধে আমি একটু ঘাড়-নাড়ার ইঙ্গিতে জানাইলাম।,page_009.md
এসব কথায় অনুপমের কী ছিল?,সম্পূর্ণ অনধিকার,এসব কথায় আমার সম্পূর্ণ অনধিকার।,page_009.md
মামা অনুপমকে কোথায় যেতে বললেন?,সভায় গিয়ে বসুক,অনুপম এখানে কি করিবে? ও সভায় গিয়ে বসুক।,page_009.md
শঙ্কুনাথবাবু কী বললেন?,না সভায় নয় এখানেই বসিতে হইবে,না সভায় নয় এখানেই বসিতে হইবে।,page_009.md
কিছুক্ষণ পরে তিনি কী আনলেন?,একখানা গামছায় বাঁধা গহনা,কিছুক্ষণ পরে তিনি একখানা গামছায় বাঁধা গহনা আনিয়া তক্তপোশের উপর মেলিয়া ধরিলেন।,page_009.md
গহনাগুলো কোন আমলের ছিল?,তাঁর পিতামহীদের আমলের,সমস্তই তাঁর পিতামহীদের আমলের গহনা।,page_009.md
গহনাগুলোর কাজ কেমন ছিল?,হালফ্যাশনের সূক্ষ্ম কাজ নয় যেমন মোটা তেমনি ভারী,হালফ্যাশনের সূক্ষ্ম কাজ নয় যেমন মোটা তেমনি ভারী।,page_009.md
সেকরা গহনা দেখে কী বলল?,এ আর দেখিব কী! ইহাতে খাদ নাই,এ আর দেখিব কী! ইহাতে খাদ নাই।,page_009.md
সেকরার মতে এমন সোনা কেমন?,এখনকার দিনে ব্যবহারই হয় না,এমন সোনা এখনকার দিনে ব্যবহারই হয় না।,page_009.md
বিবাহ উপলক্ষে কোন পক্ষকে কলিকাতা আসতে হলো?,কন্যাপক্ষকে,বলা বাহুল্য বিবাহ-উপলক্ষে কন্যাপক্ষকেই কলিকাতা আসিতে হইল।,page_008.md
হরিশকে শম্ভুনাথবাবু কত বিশ্বাস করেন?,খুব বিশ্বাস করেন,কন্যার পিতা শম্ভুনাথবাবু হরিশকে কত বিশ্বাস করেন তাহার প্রমাণ এই যে।,page_008.md
বিনুদাদা কীভাবে প্রশংসা করেন?,মন্দ নয় হে! খাটি সোনা বটে!,মন্দ নয় হে! খাটি সোনা বটে!,page_008.md
প্রজাপতির সঙ্গে পঞ্চশরের কোনো বিরোধ না থাকার মানে কী?,অনুপমের ভাগ্যে ভালো বিবাহ হবে,অতএব বুঝিলাম আমার ভাগ্যে প্রজাপতির সঙ্গে পঞ্চশরের কোনো বিরোধ নাই।,page_008.md
শম্ভুনাথবাবু অনুপমকে দেখে কী করেছিলেন?,আশীর্বাদ করিয়া যান,তিনি আমাকে চক্ষে দেখেন এবং আশীর্বাদ করিয়া যান।,page_008.md
শম্ভুনাথবাবুর চেহারার বিশেষত্ব কী?,ভিড়ের মধ্যে দেখিলে সকলের আগে তাঁর উপরে চোখ পড়িবার মতো,ভিড়ের মধ্যে দেখিলে সকলের আগে তাঁর উপরে চোখ পড়িবার মতো চেহারা।,page_008.md
শম্ভুনাথবাবুকে দেখে অনুপম খুশি হয়েছিল কিনা কেন বোঝা যায়নি?,তিনি বড়ই চুপচাপ ছিলেন,আশা করি আমাকে দেখিয়া তিনি খুশি হইয়াছিলেন। বোঝা শক্ত কেননা তিনি বড়ই চুপচাপ।,page_008.md
মামার মুখ কীভাবে চলছিল?,অনর্গল ছুটিতেছিল,মামার মুখ তখন অনর্গল ছুটিতেছিল।,page_008.md
